UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Nature of Event,Metric,Type of event,Value
10007799,Newcastle University,England,North East,2016/17,Free events,Attendees,"Performance arts (music, dance, drama etc.)",6408
10007799,Newcastle University,England,North East,2016/17,Free events,Attendees,"Exhibitions (galleries, museums etc.)",651653
10007799,Newcastle University,England,North East,2016/17,Free events,Attendees,Museum education,138014
10007799,Newcastle University,England,North East,2016/17,Free events,Attendees,Other,46306
10007799,Newcastle University,England,North East,2017/18,Chargeable events,Academic staff time (days),Public lectures,44
10007799,Newcastle University,England,North East,2017/18,Chargeable events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",48
10007799,Newcastle University,England,North East,2017/18,Chargeable events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",2
10007799,Newcastle University,England,North East,2017/18,Chargeable events,Academic staff time (days),Museum education,9
10007799,Newcastle University,England,North East,2017/18,Chargeable events,Academic staff time (days),Other,48
10007799,Newcastle University,England,North East,2017/18,Chargeable events,Attendees,Public lectures,1390
10007799,Newcastle University,England,North East,2017/18,Chargeable events,Attendees,"Performance arts (music, dance, drama etc.)",4217
10007799,Newcastle University,England,North East,2017/18,Chargeable events,Attendees,"Exhibitions (galleries, museums etc.)",400
10007799,Newcastle University,England,North East,2017/18,Chargeable events,Attendees,Museum education,1000
10007799,Newcastle University,England,North East,2017/18,Chargeable events,Attendees,Other,9436
10007799,Newcastle University,England,North East,2017/18,Free events,Academic staff time (days),Public lectures,216
10007799,Newcastle University,England,North East,2017/18,Free events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",152
10007799,Newcastle University,England,North East,2017/18,Free events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",726
10007799,Newcastle University,England,North East,2017/18,Free events,Academic staff time (days),Museum education,13
10007799,Newcastle University,England,North East,2017/18,Free events,Academic staff time (days),Other,460
10007799,Newcastle University,England,North East,2017/18,Free events,Attendees,Public lectures,21994
10007799,Newcastle University,England,North East,2017/18,Free events,Attendees,"Performance arts (music, dance, drama etc.)",9412
10007799,Newcastle University,England,North East,2017/18,Free events,Attendees,"Exhibitions (galleries, museums etc.)",723957
10007799,Newcastle University,England,North East,2017/18,Free events,Attendees,Museum education,59284
10007799,Newcastle University,England,North East,2017/18,Free events,Attendees,Other,37835
10007799,Newcastle University,England,North East,2018/19,Chargeable events,Academic staff time (days),Public lectures,30
10007799,Newcastle University,England,North East,2018/19,Chargeable events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",11
10007799,Newcastle University,England,North East,2018/19,Chargeable events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",20
10007799,Newcastle University,England,North East,2018/19,Chargeable events,Academic staff time (days),Museum education,3
10007799,Newcastle University,England,North East,2018/19,Chargeable events,Academic staff time (days),Other,40
10007799,Newcastle University,England,North East,2018/19,Chargeable events,Attendees,Public lectures,1652
10007799,Newcastle University,England,North East,2018/19,Chargeable events,Attendees,"Performance arts (music, dance, drama etc.)",575
10007799,Newcastle University,England,North East,2018/19,Chargeable events,Attendees,"Exhibitions (galleries, museums etc.)",15674
10007799,Newcastle University,England,North East,2018/19,Chargeable events,Attendees,Museum education,250
10007799,Newcastle University,England,North East,2018/19,Chargeable events,Attendees,Other,1163
10007799,Newcastle University,England,North East,2018/19,Free events,Academic staff time (days),Public lectures,281
10007799,Newcastle University,England,North East,2018/19,Free events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",15
10007799,Newcastle University,England,North East,2018/19,Free events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",615
10007799,Newcastle University,England,North East,2018/19,Free events,Academic staff time (days),Museum education,42
10007799,Newcastle University,England,North East,2018/19,Free events,Academic staff time (days),Other,250
10007799,Newcastle University,England,North East,2018/19,Free events,Attendees,Public lectures,19563
10007799,Newcastle University,England,North East,2018/19,Free events,Attendees,"Performance arts (music, dance, drama etc.)",8070
10007799,Newcastle University,England,North East,2018/19,Free events,Attendees,"Exhibitions (galleries, museums etc.)",884277
10007799,Newcastle University,England,North East,2018/19,Free events,Attendees,Museum education,31552
