UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Source of public funding,Type of income,Unit,Value
10007799,Newcastle University,England,North East,2017/18,All,Previous year's total,£000s,57003.0
10007799,Newcastle University,England,North East,2017/18,BEIS Research Councils,Public funding,£000s,14873.0
10007799,Newcastle University,England,North East,2017/18,BEIS Research Councils,Collaborative contribution - Cash,£000s,398.0
10007799,Newcastle University,England,North East,2017/18,BEIS Research Councils,Collaborative contribution - In kind,£000s,1322.0
10007799,Newcastle University,England,North East,2017/18,BEIS Research Councils,Total,£000s,16593.0
10007799,Newcastle University,England,North East,2017/18,BEIS Research Councils,Previous year's total,£000s,16579.0
10007799,Newcastle University,England,North East,2017/18,EU government,Public funding,£000s,8746.0
10007799,Newcastle University,England,North East,2017/18,EU government,Collaborative contribution - Cash,£000s,341.0
10007799,Newcastle University,England,North East,2017/18,EU government,Collaborative contribution - In kind,£000s,631.0
10007799,Newcastle University,England,North East,2017/18,EU government,Total,£000s,9718.0
10007799,Newcastle University,England,North East,2017/18,EU government,Previous year's total,£000s,10803.0
10007799,Newcastle University,England,North East,2017/18,Other,Public funding,£000s,13563.0
10007799,Newcastle University,England,North East,2017/18,Other,Collaborative contribution - Cash,£000s,0.0
10007799,Newcastle University,England,North East,2017/18,Other,Collaborative contribution - In kind,£000s,754.0
10007799,Newcastle University,England,North East,2017/18,Other,Total,£000s,14317.0
10007799,Newcastle University,England,North East,2017/18,Other,Previous year's total,£000s,12416.0
10007799,Newcastle University,England,North East,2017/18,Other UK government departments,Public funding,£000s,15227.0
10007799,Newcastle University,England,North East,2017/18,Other UK government departments,Collaborative contribution - Cash,£000s,495.0
10007799,Newcastle University,England,North East,2017/18,Other UK government departments,Collaborative contribution - In kind,£000s,94.0
10007799,Newcastle University,England,North East,2017/18,Other UK government departments,Total,£000s,15816.0
10007799,Newcastle University,England,North East,2017/18,Other UK government departments,Previous year's total,£000s,17205.0
10007799,Newcastle University,England,North East,2018/19,All,Public funding,£000s,53613.0
10007799,Newcastle University,England,North East,2018/19,All,Collaborative contribution - Cash,£000s,754.0
10007799,Newcastle University,England,North East,2018/19,All,Collaborative contribution - In kind,£000s,4272.0
10007799,Newcastle University,England,North East,2018/19,All,Total,£000s,58639.0
10007799,Newcastle University,England,North East,2018/19,All,Previous year's total,£000s,56444.0
10007799,Newcastle University,England,North East,2018/19,EU government,Public funding,£000s,8992.0
10007799,Newcastle University,England,North East,2018/19,EU government,Collaborative contribution - Cash,£000s,285.0
10007799,Newcastle University,England,North East,2018/19,EU government,Collaborative contribution - In kind,£000s,634.0
10007799,Newcastle University,England,North East,2018/19,EU government,Total,£000s,9911.0
10007799,Newcastle University,England,North East,2018/19,EU government,Previous year's total,£000s,9718.0
10007799,Newcastle University,England,North East,2018/19,Other,Public funding,£000s,13652.0
10007799,Newcastle University,England,North East,2018/19,Other,Collaborative contribution - Cash,£000s,0.0
10007799,Newcastle University,England,North East,2018/19,Other,Collaborative contribution - In kind,£000s,743.0
10007799,Newcastle University,England,North East,2018/19,Other,Total,£000s,14395.0
